300 22425 
3 292 3
3 54 -3
3 289 5
3 57 1
3 130 8
3 247 -1
3 254 8
3 33 5
3 209 -8
3 68 4
3 55 -5
3 166 7
3 5 6
3 140 7
3 157 9
3 101 -2
3 65 4
3 137 4
3 122 -2
3 281 7
3 145 6
3 144 -9
3 164 -10
3 218 -9
3 200 3
3 127 8
3 81 -10
3 47 5
3 28 9
3 215 -5
3 46 -1
3 37 1
3 80 -3
3 126 8
3 237 -6
3 16 8
3 74 1
3 52 6
3 175 -6
3 277 -7
3 45 -3
3 298 -6
3 241 4
3 58 -8
3 75 5
3 194 -7
3 291 -6
3 275 7
3 84 5
3 43 3
3 299 -7
3 25 4
3 261 9
3 13 -6
3 21 8
3 105 -4
3 138 10
3 233 6
3 14 -5
3 185 -7
3 264 -6
3 267 6
3 199 -10
3 240 9
3 142 -5
3 71 6
3 104 -4
3 123 -6
3 76 -2
3 6 -4
3 250 7
3 193 5
3 270 7
3 69 1
3 219 0
3 188 8
3 85 5
3 172 -6
3 107 7
3 223 2
3 168 3
3 268 4
3 251 5
3 256 -9
3 162 -9
3 49 3
3 4 6
3 102 -5
3 31 -10
3 217 2
3 192 1
3 39 2
3 86 -1
3 174 5
3 206 2
3 232 10
3 17 10
3 204 8
3 118 -1
3 178 -10
3 184 -3
3 88 9
3 182 -5
3 119 -9
3 87 -3
3 279 -3
3 94 -10
3 216 8
3 173 -6
3 189 9
3 23 6
3 79 -8
3 198 8
3 246 3
3 73 -3
3 98 10
3 92 -3
3 252 2
3 48 2
3 66 -2
3 191 -8
3 229 -7
3 110 3
3 20 4
3 153 0
3 201 4
3 19 -5
3 202 3
3 244 10
3 294 -5
3 56 -5
3 132 4
3 260 -8
3 97 -2
3 207 -3
3 161 7
3 18 7
4 62 2
4 163 9
4 145 -9
4 94 3
4 230 2
4 87 6
4 83 9
4 288 4
4 118 -5
4 169 4
4 225 5
4 88 9
4 150 -5
4 227 2
4 238 -4
4 203 2
4 241 -5
4 126 3
4 91 -7
4 180 -8
4 224 1
4 286 -3
4 75 7
4 177 10
4 186 -5
4 299 -5
4 105 -8
4 172 -8
4 282 -6
4 272 2
4 37 -6
4 173 9
4 53 -2
4 95 -10
4 185 7
4 26 7
4 290 -1
4 133 0
4 104 6
4 278 0
4 64 -10
4 271 -5
4 178 9
4 296 -8
4 36 -3
4 197 -1
4 135 1
4 90 3
4 248 -4
4 24 9
4 274 4
4 229 -8
4 34 3
4 151 10
4 27 -6
4 268 4
4 108 -3
4 235 -9
4 120 9
4 138 5
4 40 -8
4 23 1
4 65 -1
4 236 6
4 231 5
4 129 1
4 289 2
4 162 2
4 86 -10
4 209 -4
4 244 1
4 174 5
4 10 -9
4 73 6
4 139 -1
4 81 -4
4 109 5
4 198 10
4 190 5
4 70 -10
4 47 2
4 17 -10
4 237 5
4 134 10
4 212 6
4 214 -2
4 267 -3
4 165 2
4 216 10
4 277 -4
4 103 -3
4 240 4
4 112 2
4 159 -8
4 142 10
4 101 -4
4 43 -6
4 107 10
4 210 -8
4 57 0
4 16 9
4 147 -2
4 50 9
4 68 0
4 38 -9
4 48 -3
4 250 -7
4 58 -3
4 263 1
4 54 -8
4 256 8
4 29 4
4 116 5
4 207 -4
4 195 -2
4 28 -4
4 293 -5
4 242 4
4 7 1
4 191 5
4 6 -7
4 164 10
4 63 -10
4 239 8
4 79 1
4 297 -7
4 21 5
4 33 7
4 223 10
4 22 -1
4 123 -9
4 85 -2
4 92 1
4 76 -6
4 98 7
4 260 6
4 245 -3
4 295 3
4 11 -3
4 266 9
4 175 -4
4 154 6
4 157 -3
4 218 -10
4 41 -2
4 148 5
4 39 4
5 283 -7
5 24 -1
5 135 -6
5 160 10
5 49 -7
5 193 -1
5 292 2
5 142 3
5 112 0
5 118 -6
5 251 0
5 167 8
5 99 -7
5 207 -8
5 287 2
5 190 8
5 31 0
5 239 7
5 114 1
5 119 -9
5 275 5
5 41 7
5 177 -2
5 152 9
5 149 -9
5 290 6
5 156 8
5 14 -1
5 71 -9
5 288 3
5 50 3
5 300 10
5 84 -1
5 104 -6
5 146 1
5 274 5
5 151 -10
5 128 -3
5 162 2
5 272 0
5 139 -7
5 170 -4
5 90 -3
5 93 5
5 225 -8
5 121 2
5 214 -8
5 150 -2
5 221 -4
5 269 -10
5 168 4
5 257 -2
5 173 -8
5 202 -3
5 68 0
5 285 -10
5 263 -5
5 246 -7
5 286 -6
5 62 0
5 133 6
5 11 3
5 165 3
5 103 0
5 175 -6
5 122 9
5 101 -4
5 141 2
5 158 -3
5 106 1
5 174 6
5 30 1
5 61 -10
5 185 -9
5 76 0
5 105 5
5 45 7
5 32 -9
5 60 9
5 131 2
5 34 -4
5 293 -7
5 65 6
5 64 6
5 245 4
5 254 -9
5 129 -10
5 232 -10
5 224 -8
5 116 2
5 279 2
5 56 4
5 241 6
5 234 -9
5 267 -8
5 16 10
5 13 9
5 171 2
5 236 2
5 264 -10
5 123 -10
5 219 -3
5 51 -10
5 53 0
5 266 0
5 281 5
5 220 4
5 268 -2
5 230 -9
5 9 2
5 70 -9
5 74 0
5 15 -3
5 40 0
5 210 -2
5 89 -6
5 261 -5
5 109 -8
5 55 5
5 296 -5
5 259 1
5 46 -6
5 159 6
5 124 -6
5 249 -8
5 138 -5
5 197 6
5 130 -8
5 166 6
5 233 0
5 102 -9
5 42 -3
5 155 2
5 86 -1
5 227 -8
5 127 6
5 108 9
5 213 7
5 223 -8
5 256 4
5 91 -2
5 231 1
5 244 8
5 59 10
5 95 0
5 88 -6
5 184 9
5 208 -5
5 25 -1
5 291 3
5 77 6
5 289 -10
5 79 -4
6 110 -10
6 57 6
6 22 2
6 54 2
6 263 2
6 273 2
6 59 1
6 229 -3
6 290 -9
6 262 4
6 118 -10
6 122 4
6 37 0
6 31 2
6 135 -2
6 211 6
6 161 3
6 159 10
6 230 -8
6 100 -9
6 286 -3
6 68 3
6 183 -1
6 21 -2
6 112 -9
6 255 -8
6 172 6
6 202 -3
6 29 -5
6 205 1
6 104 2
6 192 -5
6 107 -2
6 272 10
6 96 -5
6 281 5
6 294 3
6 214 -10
6 209 -9
6 9 5
6 53 8
6 226 -5
6 10 -7
6 204 -7
6 270 -2
6 36 5
6 119 -8
6 23 7
6 197 5
6 164 -8
6 16 -1
6 217 -10
6 136 1
6 128 2
6 245 -6
6 278 -3
6 222 4
6 283 0
6 232 -3
6 179 7
6 94 2
6 109 8
6 98 8
6 91 -8
6 257 -3
6 271 -1
6 70 -5
6 220 0
6 142 8
6 55 -7
6 160 4
6 216 -7
6 89 -10
6 156 2
6 69 10
6 166 3
6 168 -6
6 194 -8
6 181 -6
6 17 -4
6 28 -6
6 125 0
6 20 6
6 234 -3
6 47 -2
6 200 8
6 180 10
6 129 9
6 227 -3
6 151 -5
6 296 -7
6 258 2
6 212 5
6 185 -3
6 218 -8
6 39 0
6 184 -9
6 115 3
6 300 -6
6 51 7
6 287 -1
6 284 -3
6 247 -4
6 108 6
6 162 -10
6 92 -2
6 80 4
6 41 -10
6 127 -7
6 195 7
6 275 -4
6 147 2
6 62 5
6 289 -8
6 97 2
6 236 -9
6 295 -4
6 84 5
6 198 5
6 264 0
6 101 -4
6 228 3
6 144 10
6 146 2
6 116 4
6 102 -2
6 199 9
6 291 -10
6 58 1
6 210 -7
6 241 4
6 268 9
6 43 -1
6 298 -9
6 140 1
6 186 8
6 40 -9
6 73 5
6 103 1
6 158 -3
6 279 -5
6 163 10
6 153 3
6 260 -8
7 105 9
7 134 9
7 253 -10
7 281 -2
7 217 0
7 258 -4
7 27 -3
7 132 -10
7 85 -7
7 294 7
7 49 -9
7 34 -2
7 123 6
7 220 -7
7 278 8
7 231 -1
7 273 1
7 265 -9
7 70 7
7 229 -9
7 255 3
7 159 -10
7 77 -2
7 65 -5
7 270 -1
7 201 -3
7 109 4
7 221 -1
7 147 8
7 40 7
7 171 -5
7 215 -9
7 237 0
7 68 -2
7 139 0
7 293 -8
7 289 -2
7 213 5
7 174 -7
7 144 -9
7 12 5
7 196 -6
7 16 -6
7 176 -7
7 56 7
7 145 2
7 37 10
7 113 4
7 252 -5
7 292 3
7 55 5
7 212 4
7 182 0
7 282 -10
7 192 9
7 283 -6
7 188 -8
7 167 4
7 254 -8
7 35 4
7 205 -8
7 187 -6
7 69 8
7 153 0
7 148 -1
7 191 0
7 92 7
7 198 -2
7 19 -5
7 259 10
7 96 9
7 129 0
7 90 0
7 91 -10
7 209 5
7 111 4
7 266 2
7 141 3
7 23 -4
7 79 5
7 263 7
7 99 -3
7 98 -4
7 284 9
7 240 -4
7 64 -7
7 178 -5
7 78 4
7 72 0
7 207 -10
7 146 8
7 130 4
7 106 8
7 43 -1
7 295 -7
7 290 -6
7 262 -4
7 110 0
7 264 -9
7 67 -4
7 190 8
7 204 -10
7 136 9
7 222 10
7 238 7
7 202 -7
7 46 9
7 142 0
7 104 -3
7 184 -4
7 228 3
7 247 9
7 161 -9
7 53 2
7 241 -5
7 36 7
7 245 10
7 288 7
7 114 9
7 250 3
7 199 -10
7 175 7
7 8 -8
7 14 1
7 164 7
7 160 10
7 31 6
7 239 -4
7 261 9
7 235 4
7 117 8
7 251 -10
7 233 6
7 232 3
7 243 2
7 165 -4
7 177 3
7 268 3
7 58 1
7 297 -2
7 179 -3
7 291 -7
7 271 2
7 138 7
7 10 -5
7 107 6
8 108 -10
8 235 -9
8 222 -7
8 101 -10
8 215 -3
8 81 -4
8 138 3
8 67 5
8 73 3
8 188 0
8 227 -4
8 90 -3
8 192 10
8 239 -2
8 300 3
8 121 -3
8 106 -3
8 144 2
8 47 2
8 270 -8
8 182 -3
8 45 2
8 245 6
8 216 -6
8 131 6
8 40 9
8 166 -4
8 299 -5
8 19 8
8 135 -8
8 150 10
8 46 -1
8 96 6
8 292 -2
8 226 7
8 146 4
8 286 -8
8 187 -1
8 79 3
8 205 2
8 259 -5
8 152 6
8 130 5
8 107 3
8 266 2
8 71 2
8 159 7
8 276 -9
8 236 -7
8 291 -7
8 289 1
8 62 6
8 151 8
8 93 10
8 103 -4
8 240 7
8 195 5
8 53 -2
8 119 -4
8 275 8
8 190 -1
8 167 -1
8 283 -6
8 69 9
8 263 -5
8 277 0
8 179 -8
8 201 -9
8 217 0
8 232 5
8 110 -2
8 32 2
8 198 -8
8 204 -6
8 186 -3
8 100 -7
8 154 3
8 163 -2
8 158 0
8 77 -6
8 15 -3
8 285 8
8 203 5
8 78 2
8 258 8
8 11 -6
8 72 1
8 68 5
8 297 -5
8 214 7
8 273 -3
8 139 9
8 225 9
8 118 -10
8 10 10
8 250 8
8 137 0
8 207 0
8 169 6
8 233 -4
8 284 -9
8 206 0
8 52 7
8 255 2
8 181 2
8 102 1
8 26 1
8 261 -4
8 23 6
8 251 -9
8 49 -8
8 218 8
8 164 5
8 20 -9
8 13 -9
8 134 1
8 50 -1
8 272 0
8 98 9
8 156 -2
8 74 -9
8 209 1
8 95 4
8 51 9
8 145 9
8 55 -3
8 122 10
8 57 -8
8 25 7
8 254 3
8 252 -3
8 105 -4
8 84 -4
8 86 -5
8 213 7
8 231 10
8 248 4
8 165 -3
8 97 7
8 234 -10
8 170 -10
8 160 7
9 126 -10
9 97 10
9 295 1
9 53 2
9 160 0
9 176 2
9 137 7
9 82 -7
9 43 3
9 10 -10
9 211 0
9 146 5
9 15 9
9 98 -3
9 136 -6
9 269 -3
9 171 0
9 155 0
9 168 -6
9 59 0
9 172 6
9 45 -3
9 47 -6
9 120 6
9 282 4
9 208 3
9 22 8
9 41 5
9 79 -6
9 250 0
9 96 6
9 70 6
9 106 -7
9 142 0
9 252 -10
9 229 3
9 111 6
9 141 0
9 33 -6
9 187 5
9 84 -7
9 299 8
9 240 0
9 257 -3
9 207 6
9 286 -1
9 158 10
9 88 -1
9 115 -4
9 218 -8
9 50 -6
9 219 -3
9 233 -3
9 180 10
9 71 5
9 235 -5
9 81 -3
9 65 2
9 135 3
9 206 -9
9 280 -5
9 170 -1
9 271 -5
9 183 -3
9 14 -9
9 224 10
9 19 -7
9 209 -10
9 99 1
9 164 8
9 174 -2
9 154 -2
9 62 6
9 221 4
9 132 -7
9 196 2
9 163 4
9 198 -8
9 256 6
9 182 -6
9 161 3
9 85 2
9 36 -6
9 156 -4
9 42 5
9 188 5
9 151 -8
9 86 -1
9 149 6
9 201 -8
9 162 8
9 16 -8
9 294 7
9 94 3
9 134 -1
9 296 0
9 223 9
9 133 10
9 32 -8
9 64 7
9 60 6
9 116 -6
9 210 -8
9 67 0
9 73 -10
9 34 -2
9 130 3
9 194 -10
9 246 8
9 273 -9
9 205 4
9 80 5
9 31 7
9 68 9
9 40 8
9 100 6
9 169 6
9 297 2
9 217 -4
9 109 4
9 44 -9
9 181 3
9 140 -3
9 61 -9
9 260 6
9 48 6
9 213 -3
9 200 9
9 77 -6
9 63 9
9 243 7
9 29 -9
9 118 -7
9 90 1
9 290 7
9 105 8
9 258 -10
9 242 4
9 227 8
9 103 10
9 173 -1
9 91 5
10 137 -1
10 48 1
10 191 -4
10 182 -6
10 108 -7
10 170 6
10 85 -5
10 242 4
10 166 4
10 199 10
10 117 -6
10 19 8
10 178 2
10 96 3
10 162 10
10 243 -5
10 92 0
10 271 8
10 60 2
10 49 1
10 141 -1
10 29 8
10 83 -2
10 33 0
10 171 -8
10 81 -3
10 144 7
10 78 4
10 77 -9
10 273 -9
10 134 0
10 63 8
10 205 9
10 184 10
10 73 6
10 12 -5
10 267 -5
10 69 -7
10 120 -3
10 38 8
10 103 -10
10 135 -5
10 236 9
10 196 -8
10 293 -1
10 276 10
10 215 2
10 104 -2
10 11 -9
10 231 2
10 152 4
10 192 2
10 203 -3
10 58 2
10 98 10
10 99 -8
10 164 -6
10 219 -7
10 24 0
10 100 -9
10 159 -7
10 124 -2
10 212 -7
10 260 -6
10 89 -4
10 148 3
10 87 4
10 150 -8
10 266 5
10 198 -4
10 122 10
10 278 -1
10 185 9
10 176 1
10 279 -8
10 55 -2
10 225 5
10 17 8
10 274 6
10 109 -3
10 197 -3
10 37 -5
10 269 7
10 67 -8
10 27 5
10 157 8
10 143 1
10 250 0
10 210 6
10 59 4
10 47 -6
10 216 0
10 223 -10
10 285 4
10 105 -4
10 22 -9
10 200 -9
10 268 -9
10 232 1
10 75 -3
10 46 -4
10 281 5
10 82 7
10 252 4
10 76 -3
10 209 -8
10 102 3
10 221 2
10 165 -4
10 42 4
10 299 9
10 251 -1
10 116 4
10 300 -7
10 179 -4
10 34 -10
10 239 2
10 292 7
10 18 -10
10 275 6
10 107 -1
10 194 1
10 115 6
10 168 -6
10 227 6
10 201 10
10 245 4
10 16 0
10 26 -5
10 189 4
10 35 -9
10 128 6
10 214 -4
10 57 -2
10 147 -4
10 206 8
10 113 2
10 71 -3
10 180 6
10 23 -5
10 241 9
10 263 -1
10 238 -4
10 130 3
10 129 -4
10 101 -5
10 114 -1
10 253 3
10 228 3
10 188 -8
10 264 8
10 195 -1
10 280 -2
10 32 1
10 202 -4
10 294 -3
10 173 -9
11 68 -3
11 194 -4
11 233 -9
11 281 -6
11 290 9
11 167 -10
11 296 5
11 253 -8
11 113 -6
11 130 -10
11 185 -8
11 41 -1
11 34 -8
11 254 -9
11 110 -5
11 232 -6
11 246 -7
11 107 5
11 125 -4
11 44 4
11 135 -5
11 106 -9
11 58 10
11 199 6
11 210 0
11 288 -2
11 33 -2
11 189 9
11 265 5
11 112 2
11 141 4
11 134 2
11 234 5
11 287 1
11 239 2
11 59 7
11 164 -4
11 165 -9
11 117 -3
11 21 3
11 119 8
11 67 -9
11 229 -7
11 32 10
11 178 1
11 278 -7
11 295 7
11 220 -6
11 157 -6
11 12 -8
11 282 10
11 235 6
11 22 -9
11 248 -8
11 57 -3
11 18 -3
11 27 5
11 96 -9
11 116 9
11 172 0
11 221 6
11 155 -8
11 258 8
11 293 6
11 136 1
11 137 5
11 65 3
11 292 9
11 286 5
11 179 -10
11 298 6
11 77 -6
11 211 6
11 271 2
11 138 7
11 126 6
11 114 -5
11 166 -3
11 118 7
11 289 -8
11 120 4
11 36 -8
11 52 -2
11 195 1
11 94 -5
11 231 3
11 183 -3
11 109 1
11 285 0
11 15 -2
11 30 9
11 222 -4
11 38 -3
11 200 -3
11 133 -1
11 238 10
11 56 10
11 76 7
11 28 8
11 54 2
11 205 9
11 149 5
11 87 -9
11 71 0
11 47 7
11 72 -4
11 182 1
11 266 9
11 128 5
11 251 -2
11 240 10
11 20 -4
11 300 1
11 162 -2
11 245 -10
11 259 3
11 49 5
11 299 6
11 90 8
11 37 -8
12 141 -3
12 277 -8
12 76 -2
12 132 -2
12 149 -1
12 261 -10
12 33 6
12 254 1
12 257 -2
12 87 8
12 246 9
12 113 -5
12 222 -2
12 110 10
12 269 -2
12 182 -1
12 231 3
12 219 3
12 216 0
12 43 -5
12 78 -2
12 94 -8
12 150 9
12 204 -1
12 68 0
12 159 1
12 51 1
12 30 -3
12 81 2
12 143 6
12 108 1
12 162 -5
12 103 -6
12 268 -9
12 207 8
12 148 -10
12 213 10
12 79 10
12 151 5
12 214 -3
12 259 2
12 90 8
12 127 -5
12 232 -4
12 111 5
12 193 4
12 28 9
12 88 5
12 99 5
12 256 -1
12 239 -6
12 58 5
12 120 3
12 54 -3
12 22 -6
12 123 -7
12 206 2
12 273 2
12 169 6
12 86 5
12 168 -8
12 215 -3
12 157 3
12 281 -4
12 93 -6
12 160 -1
12 174 6
12 44 1
12 121 6
12 64 -4
12 35 0
12 209 9
12 85 4
12 247 4
12 289 1
12 248 -10
12 191 -7
12 276 3
12 134 -10
12 235 -6
12 236 1
12 82 9
12 240 3
12 285 7
12 220 -10
12 66 -1
12 238 -10
12 293 -6
12 65 4
12 258 0
12 31 2
12 56 10
12 179 -6
12 80 -6
12 180 10
12 100 7
12 217 10
12 282 -1
12 73 5
12 107 9
12 60 -9
12 189 -8
12 50 -1
12 152 2
12 208 -10
12 225 10
12 227 -1
12 230 -7
12 234 1
12 45 7
12 128 6
12 144 0
12 21 8
12 71 8
12 197 1
12 183 -1
12 221 -10
12 131 6
12 271 4
12 83 -8
12 119 5
12 164 7
12 155 4
12 287 7
12 16 3
12 229 7
12 136 -4
12 46 -5
12 294 1
12 166 -5
12 138 -2
12 198 2
12 283 7
12 142 -2
12 218 0
12 161 -6
12 291 7
12 270 -10
12 202 -6
12 253 4
12 122 -3
12 274 8
12 42 3
12 61 -6
12 74 7
12 124 10
12 266 8
12 106 10
12 196 4
12 288 6
12 75 3
12 53 1
12 195 -9
12 59 0
13 166 -9
13 250 -1
13 63 -4
13 100 4
13 196 -5
13 201 9
13 115 -1
13 289 10
13 167 5
13 253 7
13 221 8
13 188 8
13 128 -6
13 74 -10
13 21 -4
13 92 2
13 291 -4
13 110 0
13 246 2
13 192 1
13 180 6
13 20 8
13 228 0
13 298 -5
13 89 10
13 268 5
13 295 7
13 242 6
13 144 -1
13 125 -8
13 236 3
13 297 0
13 78 1
13 179 7
13 260 10
13 223 9
13 124 -4
13 14 8
13 279 4
13 264 -9
13 138 -5
13 116 3
13 157 -6
13 32 -5
13 178 -1
13 22 10
13 68 -1
13 26 -1
13 265 10
13 102 -10
13 51 -8
13 30 3
13 72 7
13 71 1
13 262 -2
13 108 6
13 281 -9
13 199 -7
13 79 8
13 208 6
13 287 8
13 81 -4
13 41 3
13 34 3
13 70 -4
13 189 2
13 45 -6
13 231 9
13 165 2
13 86 4
13 127 -5
13 143 8
13 123 7
13 285 -3
13 28 2
13 52 -3
13 259 -6
13 255 1
13 294 -8
13 69 -2
13 202 -2
13 257 -5
13 62 9
13 43 0
13 150 -7
13 245 -7
13 239 -1
13 114 -8
13 195 1
13 126 -4
13 238 6
13 280 -2
13 75 -1
13 211 5
13 160 -1
13 173 -1
13 118 6
13 85 -3
13 222 -9
13 275 -1
13 225 6
13 229 10
13 111 -5
13 135 2
13 293 -1
13 55 2
13 37 10
13 248 -9
13 16 9
13 169 4
13 46 -7
13 164 10
13 53 -10
13 215 2
13 235 -5
13 80 -3
13 107 1
13 42 8
13 36 2
13 119 9
13 17 -7
13 209 -6
13 73 -4
13 90 -1
13 182 2
13 224 -1
13 216 5
13 139 3
13 145 -8
13 99 -1
13 131 2
13 117 -8
13 274 5
13 278 7
13 258 3
13 213 -6
13 29 -7
13 174 -2
13 251 3
13 156 3
13 152 8
13 218 6
13 47 -9
13 88 0
13 184 1
13 263 -10
13 148 3
13 172 -5
14 135 -6
14 15 7
14 205 -7
14 250 -6
14 24 -5
14 208 -5
14 112 8
14 233 -8
14 22 7
14 165 -2
14 124 8
14 71 -6
14 132 -8
14 254 3
14 255 10
14 283 0
14 128 1
14 293 6
14 130 8
14 155 3
14 63 -5
14 79 2
14 236 1
14 228 -3
14 275 -5
14 75 -2
14 274 1
14 157 -8
14 16 -1
14 93 9
14 256 5
14 237 -5
14 225 -4
14 180 0
14 138 2
14 168 10
14 67 0
14 212 -7
14 210 0
14 265 -1
14 152 -7
14 276 -2
14 232 -8
14 61 0
14 70 -3
14 125 6
14 234 7
14 171 -6
14 268 5
14 158 -6
14 29 0
14 215 -9
14 49 8
14 114 -2
14 109 7
14 23 -3
14 179 -5
14 273 -3
14 213 -7
14 90 -7
14 66 10
14 42 1
14 129 3
14 159 -2
14 48 4
14 251 -5
14 238 -6
14 282 6
14 78 -9
14 296 8
14 182 -5
14 123 2
14 222 -7
14 149 9
14 139 1
14 295 9
14 108 -6
14 104 -4
14 266 6
14 286 -2
14 197 -9
14 258 2
14 291 -2
14 221 -7
14 26 -7
14 140 -5
14 46 -7
14 239 -1
14 96 4
14 201 3
14 288 -5
14 260 -1
14 35 -3
14 57 -8
14 120 -5
14 249 10
14 216 5
14 226 10
14 300 -6
14 144 -3
14 257 -2
14 95 -3
14 198 4
14 56 10
14 40 -1
14 87 10
14 117 7
14 111 -4
14 186 8
14 74 0
14 145 -8
14 211 8
14 240 7
14 167 -9
14 32 7
14 175 -9
14 54 7
14 19 0
14 88 -6
14 31 -6
14 187 6
14 253 -5
14 97 -2
14 64 -10
14 244 -2
14 21 6
14 230 -7
15 171 2
15 200 10
15 241 -4
15 41 -5
15 72 -8
15 173 -6
15 264 4
15 213 0
15 279 -1
15 99 -7
15 143 0
15 198 10
15 296 0
15 175 1
15 275 -3
15 249 3
15 60 -1
15 81 10
15 132 2
15 225 1
15 108 6
15 274 6
15 29 2
15 165 -1
15 247 2
15 115 -9
15 266 -5
15 148 6
15 193 -8
15 168 -8
15 57 -8
15 194 9
15 199 3
15 75 1
15 136 9
15 300 -6
15 166 4
15 250 7
15 288 7
15 297 9
15 262 -3
15 104 6
15 180 6
15 212 -10
15 154 2
15 206 -3
15 271 6
15 261 3
15 156 -5
15 85 -10
15 293 10
15 107 4
15 67 -2
15 215 -1
15 92 9
15 127 -2
15 228 -1
15 283 0
15 239 0
15 282 3
15 74 10
15 95 5
15 86 -5
15 227 6
15 135 9
15 27 5
15 93 10
15 70 -8
15 197 -2
15 187 -10
15 178 -7
15 276 -3
15 131 4
15 48 6
15 151 -10
15 84 5
15 87 8
15 124 -3
15 126 -3
15 120 -4
15 31 1
15 292 7
15 91 6
15 78 2
15 59 -3
15 118 10
15 45 -3
15 25 6
15 157 -5
15 278 6
15 230 -8
15 235 0
15 209 -5
15 214 -3
15 37 2
15 114 -6
15 159 -4
15 242 7
15 162 1
15 138 -7
15 119 -10
15 30 -5
15 101 -6
15 44 -2
15 137 1
15 161 -1
15 43 -10
15 167 3
15 204 -4
15 216 1
15 218 9
15 260 4
15 257 -8
15 191 -10
15 105 9
15 272 -9
15 289 2
15 76 -2
15 47 -1
15 116 -7
15 129 1
15 210 0
15 94 2
15 61 8
15 73 9
15 190 -3
15 246 -9
